rank,model,elo,wins,draws,losses,games,score_pct
1,runs\models_9x9_scratch\checkpoints\cycle_0321.pt,1853.27,4947,69,1484,6500,76.64
2,runs\models_9x9_scratch\checkpoints\cycle_0244.pt,1812.21,4671,59,1770,6500,72.32
3,runs\models_9x9_heads\best.pt,1793.41,4489,154,1857,6500,70.25
4,runs\models_9x9_scratch\checkpoints\cycle_0218.pt,1767.64,4355,44,2101,6500,67.34
5,runs\models_9x9_scratch\checkpoints\cycle_0207.pt,1748.84,4221,31,2248,6500,65.18
6,runs\models_9x9_scratch\checkpoints\cycle_0186.pt,1736.91,4131,31,2338,6500,63.79
7,runs\models_9x9_scratch\checkpoints\cycle_0159.pt,1688.67,3752,55,2693,6500,58.15
8,runs\models_9x9_scratch\checkpoints\cycle_0133.pt,1658.04,3524,47,2929,6500,54.58
9,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,1622.61,3241,86,3173,6500,50.52
10,runs\models_9x9_scratch\checkpoints\cycle_0105.pt,1619.39,3231,59,3210,6500,50.16
11,runs\models_9x9_scratch\checkpoints\cycle_0090.pt,1521.68,2561,60,3879,6500,39.86
12,runs\models_9x9_scratch\checkpoints\cycle_0061.pt,1286.81,1426,70,5004,6500,22.48
13,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,814.72,510,101,5889,6500,8.62
14,runs\models_9x9_scratch\checkpoints\cycle_0002.pt,75.81,0,16,6484,6500,0.12
