game,agent_a,agent_b,player1,player2,result,score_for_a,plies
11373,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,60
11374,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11375,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,59
11376,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,59
11377,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,65
11378,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,59
11379,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,59
11380,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11381,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11382,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,58
11383,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11384,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,58
11385,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
11386,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,59
11387,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,59
11388,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,62
11389,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,62
11390,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11391,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,59
11392,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,59
11393,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
11394,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
11395,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
11396,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
11397,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,60
11398,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11399,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11400,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,64
11401,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,62
11402,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
11403,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
11404,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,62
11405,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
11406,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
11407,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,62
11408,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11409,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11410,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,62
11411,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11412,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
11413,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11414,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,61
11415,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,65
11416,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,p2_win,0.0,62
11417,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0106.pt,runs\models_9x9_scratch\checkpoints\cycle_0031.pt,p1_win,0.0,63
