game,agent_a,agent_b,player1,player2,result,score_for_a,plies
4531,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,p1_win,0.0,77
4532,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,86
4533,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,74
4534,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,p2_win,1.0,72
4535,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,84
4536,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,72
4537,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,76
4538,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,p2_win,1.0,82
4539,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,p1_win,0.0,77
4540,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,p1_win,1.0,79
4541,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,draw,0.5,85
4542,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,78
4543,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,80
4544,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,p1_win,0.0,83
4545,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,86
4546,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,86
4547,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,models_7x7\sweep\sup_64x6_gp3.pt,models_7x7\checkpoints\cycle_0162.pt,draw,0.5,98
