model,score_vs_sigma,score_vs_random,score_vs_greedy
QLearningAgent,,0.5549999999999999,0.0
DoubleQLearningAgent,,0.55,0.0
ExpectedSarsaAgent,,0.5475,0.0
SarsaAgent,,0.5675,0.0
DoubleExpectedSarsaAgent,,0.5475,0.0
DoubleSarsaAgent,,0.5425,0.0
