game,agent_a,agent_b,player1,player2,result,score_for_a,plies
754,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,72
755,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p1_win,1.0,75
756,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p1_win,0.0,75
757,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p1_win,1.0,71
758,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,68
759,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p1_win,0.0,71
760,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p2_win,1.0,78
761,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p1_win,0.0,71
762,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,80
763,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,78
764,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p2_win,1.0,80
765,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,76
766,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p2_win,1.0,74
767,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,74
768,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,74
769,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p2_win,1.0,76
770,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,76
771,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p1_win,1.0,73
772,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,74
773,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,72
774,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,p2_win,0.0,72
775,runs\models_9x9\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9_heads\best.pt,runs\models_9x9\best.pt,p2_win,1.0,74
