rank,model,elo,wins,draws,losses,games,score_pct
1,cycle_0056,1574.77,573,3,324,900,63.83
2,cycle_0164,1525.73,484,19,397,900,54.83
3,cycle_0100,1458.51,376,9,515,900,42.28
4,cycle_0359,1440.99,343,17,540,900,39.06
