rank,model,elo,wins,draws,losses,games,score_pct
1,best_sim400,1775.68,826,9,165,1000,83.05
2,best_sim200,1700.13,745,8,247,1000,74.90
3,best_sim100,1539.44,544,11,445,1000,54.95
4,best_sim50,1482.96,472,8,520,1000,47.60
5,best_sim10,1276.80,222,5,773,1000,22.45
6,best_sim1,1224.98,170,1,829,1000,17.05
