game,agent_a,agent_b,player1,player2,result,score_for_a,plies
6051,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,p1_win,0.0,83
6052,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,p1_win,0.0,79
6053,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,p2_win,1.0,78
6054,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p1_win,1.0,77
6055,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,p1_win,0.0,73
6056,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,p2_win,1.0,72
6057,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,86
6058,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,84
6059,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p1_win,1.0,81
6060,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,draw,0.5,100
6061,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,p2_win,1.0,74
6062,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p1_win,1.0,75
6063,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,76
6064,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,76
6065,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,76
6066,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,p2_win,0.0,86
6067,runs\models_7x7\sweep\sup_64x6_gp1.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\checkpoints\cycle_0162.pt,runs\models_7x7\sweep\sup_64x6_gp1.pt,p2_win,1.0,74
