game,agent_a,agent_b,player1,player2,result,score_for_a,sims_a,sims_b
1,supervised_extended.pt @ 16 sims,supervised_extended.pt @ 32 sims,supervised_extended.pt @ 16 sims,supervised_extended.pt @ 32 sims,p2_win,0.0,16,32
2,supervised_extended.pt @ 16 sims,supervised_extended.pt @ 32 sims,supervised_extended.pt @ 32 sims,supervised_extended.pt @ 16 sims,p2_win,1.0,16,32
