rank,variant,elo,wins,draws,losses,games,score_pct,temperature
1,supervised_extended.pt @ 32 sims,1500.00,1,0,1,2,50.00,0.0
2,supervised_extended.pt @ 16 sims,1500.00,1,0,1,2,50.00,0.0
